manufacturer,year,model,total_range_in_mls
Ford,2023,Maverick AWD,704
Ford,2020,Fusion FWD,704
Ford,2023,Mustang,426
Ford,2020,Mustang,426
Ford,2021,Edge FWD,426
Ford,2020,Edge FWD,426
Ford,2019,Escape FWD,426
Ford,2019,Escape FWD FFV,426
Ford,2020,F150 Pickup 2WD,426
Ford,2023,Mustang,426
Ford,2022,Mustang,361
Ford,2021,Mustang,368
Ford,2024,Mustang Performance Package,368
Ford,2024,Explorer RWD,368
Ford,2023,Explorer RWD,368
Ford,2022,Explorer RWD,414
Ford,2021,Explorer RWD,414
Ford,2021,Explorer RWD,414
Ford,2020,Explorer RWD,414
Ford,2020,F150 2WD BASE PAYLOAD LT TIRE,414
Ford,2020,F150 Pickup 4WD XL/XLT,414
Ford,2019,F150 Pickup 4WD XL/XLT,414
Ford,2023,Explorer Platinum HEV AWD,426
Ford,2022,Explorer Platinum HEV AWD,426
Ford,2023,F150 Pickup 4WD HEV,426
Ford,2022,F150 Pickup 4WD HEV,412
Ford,2024,F150 Pickup 4WD HEV,412
Ford,2024,Edge AWD,356
Ford,2024,Edge AWD,356
Ford,2023,Edge AWD,366
Ford,2022,Edge AWD,366
Ford,2021,Edge AWD,356
Ford,2020,Edge AWD,356
Ford,2020,Edge AWD,356
Ford,2019,Edge AWD,356
Ford,2019,Escape AWD,356
Ford,2024,Bronco Sport 4WD,356
Ford,2023,Bronco Sport 4WD,356
Ford,2022,Bronco Sport 4WD,356
Ford,2021,Bronco Sport 4WD,412
Ford,2023,Ranger 2WD,412
Ford,2022,Ranger 2WD,412
Ford,2021,Ranger 2WD,412
Ford,2020,Ranger 2WD,412
Ford,2019,Ranger 2WD,412
Ford,2020,Fusion AWD,529
Ford,2019,Fusion AWD,356
Ford,2023,Edge AWD,366
Ford,2022,Edge AWD,356
Ford,2021,Edge AWD,356
Ford,2023,Explorer RWD,356
Ford,2022,Explorer RWD,366
Ford,2023,Mustang Convertible,356
Ford,2023,Mustang Convertible,356
Ford,2022,Mustang Convertible,356
Ford,2022,Mustang Convertible,414
Ford,2021,Mustang Convertible,341
Ford,2021,Mustang Convertible,350
Ford,2020,Mustang Convertible,341
Ford,2020,Mustang Convertible,348
Ford,2019,Mustang Convertible,348
Ford,2019,Mustang Convertible,348
Ford,2020,Mustang HO Coupe,348
Ford,2019,Mustang Performance Package,348
Ford,2024,Explorer AWD,348
Ford,2023,Explorer AWD,394
Ford,2022,Explorer AWD,394
Ford,2021,Explorer AWD,506
Ford,2021,Explorer AWD,506
Ford,2020,Explorer AWD,506
Ford,2021,F150 Pickup 4WD,506
Ford,2023,Mustang Convertible,506
Ford,2022,Mustang Convertible,396
Ford,2021,Mustang Convertible,396
Ford,2020,Mustang HO Convertible,348
Ford,2023,Mustang HO Coupe,348
Ford,2022,Mustang HO Coupe,348
Ford,2021,Mustang HO Coupe,348
Ford,2020,Mustang HO Coupe,348
Ford,2019,Mustang Performance Package,506
Ford,2024,Ranger 2WD,572
Ford,2023,Mustang HO Coupe,506
Ford,2022,Mustang HO Coupe,414
Ford,2021,Mustang HO Coupe,396
Ford,2022,Transit Connect USPS,396
Ford,2021,Transit Connect USPS,396
Ford,2020,Transit Connect USPS,396
Ford,2019,Transit Connect USPS,398
Ford,2020,Transit Connect Van 2WD,409
Ford,2019,Transit Connect Van 2WD,341
Ford,2021,Transit Connect Van FWD,350
Ford,2023,Explorer AWD,341
Ford,2022,Explorer AWD,341
Ford,2023,F150 Pickup 2WD,506
Ford,2022,F150 Pickup 2WD,368
Ford,2021,F150 Pickup 2WD,506
Ford,2020,F150 Pickup 2WD,368
Ford,2019,F150 Pickup 2WD,483
Ford,2023,Ranger 2WD,368
Ford,2022,Ranger 2WD,346
Ford,2022,Transit Connect Van FWD,355
Ford,2022,Transit Connect Wagon LWB FWD,355
Ford,2021,Transit Connect Wagon LWB FWD,388
Ford,2020,Transit Connect Wagon LWB FWD,388
Ford,2019,Transit Connect Wagon LWB FWD,388
Ford,2019,F150 4WD BASE PAYLOAD LT TIRE,388
Ford,2020,F150 Pickup 4WD,388
Ford,2019,F150 Pickup 4WD,388
Ford,2024,Ranger 4WD,483
Ford,2023,Ranger 4WD,483
Ford,2022,Ranger 4WD,483
Ford,2021,Ranger 4WD,326
Ford,2020,Ranger 4WD,334
Ford,2019,Ranger 4WD,326
Ford,2019,Explorer FWD,483
Ford,2023,Mustang HO Convertible,368
Ford,2022,Mustang HO Convertible,483
Ford,2021,Mustang HO Convertible,368
Ford,2020,Mustang HO Convertible,483
Ford,2020,F150 Pickup 2WD FFV,368
Ford,2019,F150 Pickup 2WD FFV,483
Ford,2021,F150 Pickup 2WD FFV,483
Ford,2024,Maverick Tremor AWD,483
Ford,2023,Maverick Tremor AWD,378
Ford,2021,Bronco 4WD,378
Ford,2021,Bronco 4WD,376
Ford,2020,Edge AWD,376
Ford,2019,Edge AWD,376
Ford,2024,Edge AWD,376
Ford,2023,Edge AWD,376
Ford,2022,Edge AWD,424
Ford,2021,Edge AWD,424
Ford,2019,F150 2.7L 2WD GVWR>6649 LBS,424
Ford,2019,F150 2WD BASE PAYLOAD LT TIRE,399
Ford,2024,F150 Pickup 2WD,399
Ford,2023,Mustang HO Convertible,285
Ford,2022,Mustang HO Convertible,391
Ford,2021,Mustang HO Convertible,483
Ford,2019,F150 2WD FFV BASE PAYLOAD LT,483
Ford,2023,F150 Pickup 2WD FFV,483
Ford,2022,F150 Pickup 2WD FFV,338
Ford,2022,F150 Pickup 4WD,338
Ford,2021,F150 Pickup 4WD,338
Ford,2019,F150 Pickup 4WD,338
Ford,2023,Ranger 4WD,338
Ford,2022,Ranger 4WD,338
Ford,2021,Explorer Timberline AWD,460
Ford,2024,Explorer Timberline AWD,345
Ford,2023,Explorer Timberline AWD,460
Ford,2022,Explorer Timberline AWD,345
Ford,2024,Explorer RWD,460
Ford,2023,Explorer RWD,345
Ford,2022,Explorer RWD,460
Ford,2021,Explorer RWD,345
Ford,2019,Taurus FWD,338
Ford,2019,Taurus FWD FFV,338
Ford,2019,Explorer AWD,358
Ford,2023,F150 Pickup 2WD,358
Ford,2019,F150 Pickup 2WD,358
Ford,2023,F150 Pickup 2WD,404
Ford,2024,Bronco 4WD,404
Ford,2024,Bronco 4WD,358
Ford,2023,Bronco 4WD,358
Ford,2023,Bronco 4WD,404
Ford,2022,Bronco 4WD,404
Ford,2022,Bronco 4WD,404
Ford,2023,F150 Pickup 2WD FFV,404
Ford,2024,Ranger 4WD,404
Ford,2023,F150 Pickup 4WD FFV,404
Ford,2022,F150 Pickup 4WD FFV,460
Ford,2021,F150 Pickup 4WD FFV,460
Ford,2024,Bronco 4WD,460
Ford,2023,Bronco 4WD,460
Ford,2023,Explorer Timberline AWD,460
Ford,2022,Explorer Timberline AWD,460
Ford,2024,Explorer RWD,460
Ford,2023,Explorer RWD,460
Ford,2022,Explorer RWD,460
Ford,2024,Explorer AWD,460
Ford,2024,Explorer AWD,460
Ford,2023,Explorer AWD,460
Ford,2023,Explorer AWD,345
Ford,2022,Explorer AWD,460
Ford,2022,Explorer AWD,345
Ford,2021,Explorer AWD,360
Ford,2020,Explorer AWD,436
Ford,2022,F150 Pickup 2WD,327
Ford,2021,F150 Pickup 2WD,460
Ford,2023,F150 Pickup 4WD,460
Ford,2021,F150 Pickup 4WD,345
Ford,2019,F150 2.7L 4WD GVWR>6799 LBS,466
Ford,2019,F150 4WD BASE PAYLOAD LT TIRE,372
Ford,2024,F150 Pickup 4WD,279
Ford,2023,F150 Pickup 4WD,404
Ford,2022,F150 Pickup 4WD,404
Ford,2021,F150 Pickup 4WD,358
Ford,2020,F150 Pickup 4WD,268
Ford,2020,F150 Pickup 4WD FFV,372
Ford,2019,F150 Pickup 4WD FFV,460
Ford,2019,Fusion AWD,460
Ford,2023,Explorer FFV AWD,460
Ford,2024,F150 Pickup 2WD,322
Ford,2023,F150 Pickup 2WD FFV,460
Ford,2019,Expedition 2WD,322
Ford,2019,Explorer 2WD FFV,460
Ford,2023,Explorer AWD,460
Ford,2023,Explorer AWD,321
Ford,2024,Explorer FFV AWD,342
Ford,2019,Explorer FWD,342
Ford,2022,F150 Pickup 2WD,342
Ford,2021,F150 Pickup 2WD,321
Ford,2022,F150 Pickup 2WD FFV,437
Ford,2021,F150 Pickup 2WD FFV,322
Ford,2023,F150 Pickup 4WD,437
Ford,2022,F150 Pickup 4WD,322
Ford,2022,Bronco 4WD,437
Ford,2023,Ranger Tremor 4WD,322
Ford,2022,Ranger Tremor 4WD,361
Ford,2021,Ranger Tremor 4WD,361
Ford,2021,Bronco 4WD,285
Ford,2023,F150 Pickup 2WD FFV,441
Ford,2022,F150 Pickup 2WD FFV,441
Ford,2021,F150 Pickup 2WD FFV,441
Ford,2019,Taurus AWD,475
Ford,2019,Taurus AWD FFV,475
Ford,2024,Expedition 2WD,570
Ford,2023,Expedition 2WD,570
Ford,2022,Expedition 2WD,538
Ford,2021,Expedition 2WD,437
Ford,2020,Expedition 2WD,437
Ford,2021,Expedition MAX 2WD,322
Ford,2020,Expedition MAX 2WD,437
Ford,2019,Expedition MAX 2WD,299
Ford,2020,F150 Pickup 2WD,437
Ford,2020,F150 Pickup 2WD FFV,437
Ford,2019,F150 Pickup 2WD FFV,437
Ford,2023,F150 Pickup 4WD,437
Ford,2022,F150 Pickup 4WD,475
Ford,2021,F150 Pickup 4WD,475
Ford,2019,F150 Pickup 4WD,443
Ford,2021,Expedition 4WD,437
Ford,2020,Expedition 4WD,437
Ford,2019,Expedition 4WD,345
Ford,2019,F150 2WD BASE PAYLOAD LT TIRE,437
Ford,2019,F150 4WD FFV BASE PAYLOAD LT,437
Ford,2020,F150 Pickup 2WD Limited,437
Ford,2019,F150 Pickup 2WD Limited,322
Ford,2023,F150 Pickup 4WD FFV,437
Ford,2019,F150 3.5L 2WD GVWR>7599 LBS,437
Ford,2020,F150 Pickup 4WD Limited,437
Ford,2019,F150 Pickup 4WD Limited,304
Ford,2020,Mustang,304
Ford,2019,Mustang,414
Ford,2022,Explorer FFV AWD,283
Ford,2024,F150 Pickup 2WD,437
Ford,2024,F150 Pickup 4WD,437
Ford,2024,F150 Pickup 4WD,437
Ford,2024,Mustang,361
Ford,2019,Taurus AWD,441
Ford,2023,Expedition 2WD,441
Ford,2022,Expedition 2WD,414
Ford,2021,Explorer FFV AWD,283
Ford,2020,Explorer FFV AWD,414
Ford,2019,Flex FWD,283
Ford,2019,Explorer AWD,353
Ford,2022,F150 Pickup 4WD FFV,353
Ford,2021,F150 Pickup 4WD FFV,437
Ford,2023,Mustang,299
Ford,2022,Mustang,437
Ford,2021,Mustang,299
Ford,2021,Ranger 2WD Incomplete,304
Ford,2020,Ranger 2WD Incomplete,302
Ford,2019,Ranger 2WD Incomplete,294
Ford,2024,Bronco Black Diamond 4WD,324
Ford,2024,Bronco Black Diamond 4WD,324
Ford,2023,Bronco Black Diamond 4WD,326
Ford,2023,Bronco Black Diamond 4WD,304
Ford,2022,Bronco Black Diamond 4WD,304
Ford,2021,Bronco Black Diamond 4WD,304
Ford,2021,Bronco Sasquatch 4WD,304
Ford,2024,Bronco Sasquatch 4WD,304
Ford,2023,Bronco Sasquatch 4WD,304
Ford,2022,Bronco Sasquatch 4WD,304
Ford,2022,Bronco Black Diamond 4WD,304
Ford,2021,Bronco Black Diamond 4WD,304
Ford,2022,Bronco Sasquatch 4WD,304
Ford,2024,Expedition 4WD,304
Ford,2023,Expedition 4WD,304
Ford,2022,Expedition 4WD,304
Ford,2019,Explorer AWD,418
Ford,2019,Explorer AWD FFV,418
Ford,2019,F150 4WD BASE PAYLOAD LT TIRE,418
Ford,2020,F150 Pickup 4WD,335
Ford,2023,F150 Pickup 4WD FFV,335
Ford,2022,F150 Pickup 4WD FFV,260
Ford,2021,F150 Pickup 4WD FFV,414
Ford,2019,F150 Pickup 4WD FFV,414
Ford,2019,Flex AWD,414
Ford,2023,Expedition 4WD,322
Ford,2022,Expedition 4WD,414
Ford,2021,Expedition MAX 4WD,322
Ford,2020,Expedition MAX 4WD,414
Ford,2019,Expedition MAX 4WD,322
Ford,2020,F150 2WD FFV BASE PAYLOAD LT,414
Ford,2019,F150 2WD FFV BASE PAYLOAD LT,299
Ford,2019,F150 3.5L 4WD GVWR>7599 LBS,335
Ford,2023,F150 Pickup Tremor 4WD,418
Ford,2023,F150 Pickup Tremor 4WD,418
Ford,2022,F150 Pickup Tremor 4WD,540
Ford,2022,F150 Pickup Tremor 4WD,540
Ford,2021,F150 Pickup Tremor 4WD,509
Ford,2021,F150 Pickup Tremor 4WD,414
Ford,2024,Mustang,322
Ford,2023,Mustang,414
Ford,2022,Mustang,299
Ford,2021,Mustang,414
Ford,2020,Mustang,414
Ford,2019,Mustang,414
Ford,2019,Mustang Bullitt,414
Ford,2020,Mustang Convertible,414
Ford,2019,Mustang Convertible,414
Ford,2024,Mustang,414
Ford,2023,Mustang Convertible,288
Ford,2022,Mustang Convertible,286
Ford,2021,Mustang Convertible,279
Ford,2023,Mustang Mach 1,288
Ford,2022,Mustang Mach 1,288
Ford,2021,Mustang Mach 1,288
Ford,2020,F150 Pickup 4WD FFV,288
Ford,2021,Bronco Badlands 4WD,288
Ford,2021,Bronco Badlands 4WD,288
Ford,2024,Bronco Badlands 4WD,286
Ford,2023,Bronco Badlands 4WD,279
Ford,2023,Bronco Badlands 4WD,288
Ford,2022,Bronco Badlands 4WD,288
Ford,2022,Bronco Badlands 4WD,288
Ford,2024,Bronco Sasquatch 4WD,414
Ford,2023,Bronco Sasquatch 4WD,299
Ford,2022,Bronco Sasquatch 4WD,287
Ford,2021,Bronco Sasquatch 4WD,287
Ford,2024,Expedition Timberline AWD,287
Ford,2023,Expedition Timberline AWD,287
Ford,2022,Expedition Timberline AWD,287
Ford,2024,Bronco Badlands 4WD,287
Ford,2021,Bronco Badlands 4WD,287
Ford,2024,Bronco Black Diamond 4WD,287
Ford,2023,Bronco Black Diamond 4WD,287
Ford,2024,Bronco Sasquatch 4WD,287
Ford,2023,Bronco Sasquatch 4WD,287
Ford,2024,Ranger RAPTOR 4WD,394
Ford,2023,Bronco Badlands 4WD,394
Ford,2022,Bronco Badlands 4WD,394
Ford,2019,Flex AWD,287
Ford,2019,F150 4WD FFV BASE PAYLOAD LT,287
Ford,2020,F150 5.0L 2WD FFV GVWR>7599 LBS,287
Ford,2019,F150 5.0L 2WD FFV GVWR>7599 LBS,287
Ford,2023,F150 Pickup Tremor 4WD FFV,287
Ford,2023,F150 Pickup Tremor 4WD FFV,287
Ford,2023,Expedition Timberline AWD,345
Ford,2022,Expedition Timberline AWD,287
Ford,2022,Transit T150 Wagon 2WD FFV,287
Ford,2020,Transit T150 Wagon 2WD FFV,316
Ford,2024,Mustang,391
Ford,2020,Mustang Bullitt,299
Ford,2024,Mustang Dark Horse,391
Ford,2024,Mustang Dark Horse,322
Ford,2023,Mustang Mach 1,391
Ford,2022,Mustang Mach 1,299
Ford,2021,Mustang Mach 1,612
Ford,2019,Transit T150 Wagon,468
Ford,2021,Transit T150 Wagon 2WD FFV,612
Ford,2023,F150 RAPTOR 4WD,468
Ford,2022,F150 RAPTOR 4WD,394
Ford,2021,F150 RAPTOR 4WD,394
Ford,2020,F150 RAPTOR 4WD,425
Ford,2019,F150 RAPTOR 4WD,300
Ford,2020,Shelby GT350 Mustang,425
Ford,2019,Shelby GT350 Mustang,300
Ford,2019,F150 5.0L 4WD FFV GVWR>7599 LBS,272
Ford,2020,Transit T150 Wagon 4WD FFV,272
Ford,2024,F150 RAPTOR 4WD,272
Ford,2022,Transit T150 Wagon 4WD FFV,272
Ford,2021,Transit T150 Wagon 4WD FFV,400
Ford,2024,Bronco Raptor 4WD,400
Ford,2023,Bronco Raptor 4WD,300
Ford,2022,Bronco Raptor 4WD,576
Ford,2023,F150 RAPTOR 37 4WD,416
Ford,2022,F150 RAPTOR 37 4WD,576
Ford,2021,F150 RAPTOR 37 4WD,368
Ford,2023,F150 RAPTOR 4WD,368
Ford,2022,F150 RAPTOR 4WD,256
Ford,2021,F150 RAPTOR 4WD,256
Ford,2019,Transit T150 Wagon,368
Ford,2019,Transit T150 Wagon FFV,276
Ford,2023,F150 RAPTOR 37 4WD,400
Ford,2022,F150 RAPTOR 37 4WD,300
Ford,2021,F150 RAPTOR 37 4WD,368
Ford,2022,GT,400
Ford,2021,GT,300
Ford,2020,GT,400
Ford,2022,Shelby GT500 Mustang,300
Ford,2021,Shelby GT500 Mustang,253
Ford,2020,Shelby GT500 Mustang,312
Ford,2019,GT,312
Ford,2024,F150 RAPTOR R 4WD,540
Ford,2023,F150 RAPTOR R 4WD,390
Nissan,2019,Leaf (40 kW-hr battery pack),540
Nissan,2024,LEAF,540
Nissan,2023,LEAF,390
Nissan,2022,Leaf (40 kW-hr battery pack),540
Nissan,2021,Leaf (40 kW-hr battery pack),375
Nissan,2020,Leaf (40 kW-hr battery pack),375
Nissan,2024,LEAF SV,275
Nissan,2023,LEAF SV,540
Nissan,2022,Leaf (62 kW-hr battery pack),390
Nissan,2021,Leaf (62 kW-hr battery pack),540
Nissan,2020,Leaf (62 kW-hr battery pack),224
Nissan,2019,Leaf (62 kW-hr battery pack),224
Nissan,2022,Leaf SV/SL (62 kW-hr battery pack),224
Nissan,2021,Leaf SV/SL (62 kW-hr battery pack),224
Nissan,2020,Leaf SV/SL (62 kW-hr battery pack),276
Nissan,2019,Leaf SV/SL (62 kW-hr battery pack),432
Nissan,2023,ARIYA VENTURE Plus FWD 87kWh,150
Nissan,2023,ARIYA ENGAGE FWD 63kWh,149
Nissan,2023,ARIYA EVO Plus/EMP Plus/PRM FWD 87kWh,149
Nissan,2023,ARIYA ENGAGE e-4ORCE 63kWh,149
Nissan,2023,ARIYA ENG Plus/EVO Plus e-4ORCE 87kWh,149
Nissan,2023,ARIYA PLAT Plus e-4ORCE 87kWh 19,149
Nissan,2023,ARIYA PLAT Plus e-4ORCE 87kWh 20,212
Nissan,2024,Versa,212
Nissan,2023,Versa,226
Nissan,2022,Versa,226
Nissan,2021,Versa,226
Nissan,2020,Versa,226
Nissan,2019,Rogue Hybrid FWD,215
Nissan,2019,Versa,215
Nissan,2024,Sentra,215
Nissan,2024,Kicks,215
Nissan,2023,Kicks,304
Nissan,2022,Kicks,216
Nissan,2021,Kicks,289
Nissan,2020,Kicks,205
Nissan,2019,Kicks,272
Nissan,2019,Rogue Hybrid AWD,267
Nissan,2024,Sentra SR,257
Nissan,2024,Rogue FWD,378
Nissan,2023,Rogue FWD,378
Nissan,2023,Rogue FWD,378
Nissan,2022,Rogue FWD,378
Nissan,2021,Rogue FWD,378
Nissan,2021,Rogue AWD,493
Nissan,2023,Sentra,367
Nissan,2022,Sentra,422
Nissan,2021,Sentra,356
Nissan,2020,Sentra,356
Nissan,2021,Rogue FWD SL/Platinum,356
Nissan,2019,Sentra,356
Nissan,2024,Rogue FWD SL/Platinum,356
Nissan,2023,Rogue FWD SL/Platinum,356
Nissan,2023,Rogue FWD SL/Platinum,478
Nissan,2022,Rogue FWD SL/Platinum,409
Nissan,2021,Rogue AWD SL/Platinum,478
Nissan,2022,Altima,478
Nissan,2021,Altima,478
Nissan,2020,Altima,478
Nissan,2019,Altima,478
Nissan,2023,Sentra SR,478
Nissan,2022,Sentra SR,409
Nissan,2021,Sentra SR,409
Nissan,2020,Sentra SR,409
Nissan,2024,Altima,409
Nissan,2023,Altima,464
Nissan,2024,Rogue AWD,422
Nissan,2023,Rogue AWD,464
Nissan,2023,Rogue AWD,464
Nissan,2022,Rogue AWD,464
Nissan,2024,Rogue AWD SL/Platinum,464
Nissan,2023,Rogue AWD SL/Platinum,464
Nissan,2023,Rogue AWD SL/Platinum,518
Nissan,2022,Rogue AWD SL/Platinum,518
Nissan,2024,Altima SL/SR,518
Nissan,2023,Altima SL/SR,518
Nissan,2022,Altima SR,397
Nissan,2021,Altima SR,397
Nissan,2020,Altima SR/Platinum,397
Nissan,2019,Altima SR/Platinum,397
Nissan,2022,Altima SV/SL,518
Nissan,2021,Altima SV/SL,518
Nissan,2019,Versa,450
Nissan,2021,Rogue FWD,450
Nissan,2019,Sentra,450
Nissan,2024,Versa,450
Nissan,2023,Versa,450
Nissan,2022,Versa,450
Nissan,2021,Versa,450
Nissan,2020,Versa,450
Nissan,2024,Altima AWD,502
Nissan,2023,Altima AWD,502
Nissan,2022,Altima AWD,502
Nissan,2021,Altima AWD,502
Nissan,2020,Altima AWD,502
Nissan,2019,Altima AWD,502
Nissan,2019,Sentra,502
Nissan,2021,Rogue FWD SV/SL/Platinum,502
Nissan,2021,Rogue AWD,324
Nissan,2020,Rogue FWD,435
Nissan,2019,Rogue FWD,396
Nissan,2022,Altima AWD SR/Platinum,324
Nissan,2021,Altima AWD SR/Platinum,324
Nissan,2020,Altima AWD SR/Platinum,324
Nissan,2019,Altima AWD SR/Platinum,324
Nissan,2024,Altima SR,324
Nissan,2023,Altima SR,480
Nissan,2022,Altima SR,480
Nissan,2021,Altima SR/Platinum,480
Nissan,2020,Altima SR/Platinum,480
Nissan,2019,Altima SR/Platinum,480
Nissan,2021,Rogue AWD SV/SL/Platinum,480
Nissan,2022,Rogue Sport,383
Nissan,2021,Rogue Sport,420
Nissan,2020,Rogue Sport,420
Nissan,2019,Rogue Sport,420
Nissan,2020,Rogue AWD,420
Nissan,2019,Rogue AWD,464
Nissan,2019,Sentra Nismo,464
Nissan,2019,Sentra Nismo,464
Nissan,2022,Rogue Sport AWD,464
Nissan,2021,Rogue Sport AWD,470
Nissan,2020,Rogue Sport AWD,470
Nissan,2019,Rogue Sport AWD,470
Nissan,2021,NV200 Cargo Van,470
Nissan,2020,NV200 Cargo Van,470
Nissan,2019,NV200 Cargo Van,470
Nissan,2019,NV200 NYC Taxi,406
Nissan,2023,Maxima,406
Nissan,2022,Maxima,406
Nissan,2021,Maxima,406
Nissan,2020,Maxima,406
Nissan,2019,Maxima,392
Nissan,2024,Pathfinder 4WD,392
Nissan,2023,Pathfinder 4WD,356
Nissan,2022,Pathfinder 4WD,356
Nissan,2022,Pathfinder 2WD,392
Nissan,2024,Murano AWD,392
Nissan,2023,Murano AWD,392
Nissan,2022,Murano AWD,392
Nissan,2021,Murano AWD,362
Nissan,2020,Murano AWD,700
Nissan,2019,Murano AWD,362
Nissan,2024,Murano FWD,432
Nissan,2023,Murano FWD,432
Nissan,2022,Murano FWD,432
Nissan,2021,Murano FWD,432
Nissan,2020,Murano FWD,432
Nissan,2019,Murano FWD,426
Nissan,2024,Pathfinder 2WD,426
Nissan,2023,Pathfinder 2WD,426
Nissan,2020,Pathfinder 2WD,426
Nissan,2019,Pathfinder 2WD,437
Nissan,2020,Pathfinder 4WD,437
Nissan,2024,Pathfinder 4WD Platinum,437
Nissan,2022,Pathfinder 4WD Platinum,437
Nissan,2023,Pathfinder 4WD SL/Platinum,437
Nissan,2024,Z,437
Nissan,2023,Z,437
Nissan,2020,370Z,437
Nissan,2019,370Z,437
Nissan,2019,Pathfinder 4WD,437
Nissan,2024,Pathfinder 4WD Rock Creek,437
Nissan,2023,Pathfinder 4WD Rock Creek,437
Nissan,2020,Pathfinder 4WD Platinum,426
Nissan,2019,Pathfinder 4WD Platinum,426
Nissan,2019,Frontier 2WD,448
Nissan,2020,370Z Roadster,448
Nissan,2019,370Z Roadster,429
Nissan,2024,Frontier 2WD,407
Nissan,2023,Frontier 2WD,407
Nissan,2023,Frontier 2WD,407
Nissan,2022,Frontier 2WD,418
Nissan,2021,Frontier 2WD,418
Nissan,2020,Frontier 2WD,429
Nissan,2024,Z,388
Nissan,2023,Z,388
Nissan,2024,Frontier 4WD,410
Nissan,2023,Frontier 4WD,410
Nissan,2021,370Z,443
Nissan,2020,370Z,399
Nissan,2019,370Z,441
Nissan,2024,Frontier 4WD PRO4X,441
Nissan,2023,Frontier 4WD PRO4X,420
Nissan,2024,Z NISMO,420
Nissan,2021,Frontier 4WD,422
Nissan,2020,Frontier 4WD,420
Nissan,2019,Frontier 2WD,420
Nissan,2023,Frontier 4WD,380
Nissan,2022,Frontier 4WD,380
Nissan,2023,Frontier 4WD PRO4X,399
Nissan,2019,Frontier 2WD,399
Nissan,2019,Frontier 2WD,401
Nissan,2019,Frontier 2WD FFV,401
Nissan,2024,GT-R,399
Nissan,2023,GT-R,399
Nissan,2021,GT-R,399
Nissan,2020,GT-R,401
Nissan,2019,GT-R,401
Nissan,2020,Titan 2WD,380
Nissan,2019,Frontier 4WD,274
Nissan,2023,Titan 2WD,351
Nissan,2022,Titan 2WD,351
Nissan,2021,Titan 2WD,351
Nissan,2019,Titan 2WD,351
Nissan,2023,Titan 4WD,468
Nissan,2022,Titan 4WD,380
Nissan,2021,Titan 4WD,468
Nissan,2020,Titan 4WD,468
Nissan,2019,Titan 4WD,468
Nissan,2019,Frontier 4WD,468
Nissan,2019,Frontier 4WD FFV,468
Nissan,2024,Titan 2WD,468
Nissan,2024,Titan 4WD,468
Nissan,2020,Titan 4WD PRO4X,468
Nissan,2021,Titan 4WD PRO-4X,468
Nissan,2023,Titan 4WD PRO4X,359
Nissan,2022,Titan 4WD PRO4X,359
Nissan,2019,Titan 4WD PRO4X,253
Nissan,2024,Titan 4WD PRO4X,442
Nissan,2024,Armada 2WD,442
Nissan,2023,Armada 2WD,442
Nissan,2022,Armada 2WD,442
Nissan,2021,Armada 2WD,442
Nissan,2020,Armada 2WD,442
Nissan,2019,Armada 2WD,442
Nissan,2024,Armada 4WD,416
Nissan,2023,Armada 4WD,416
Nissan,2023,Armada 4WD,416
Nissan,2022,Armada 4WD,416
Nissan,2022,Armada 4WD,416
Nissan,2021,Armada 4WD,416
Nissan,2021,Armada 4WD,416
Nissan,2020,Armada 4WD,390
Nissan,2019,Armada 4WD,390
